Pressure Vapor	Temperature	Volume Vapor	Enthalpy Vapor	Entropy Vapor
70.0000	-10.0000	0.3571	412.2000	1.9584
70.0000	-5.0000	0.3642	416.0000	1.9730
70.0000	0.0000	0.3712	419.9000	1.9875
70.0000	5.0000	0.3783	423.9000	2.0018
70.0000	10.0000	0.3854	427.9000	2.0160
70.0000	15.0000	0.3924	431.9000	2.0302
70.0000	20.0000	0.3995	436.0000	2.0442
70.0000	25.0000	0.4065	440.1000	2.0581
70.0000	30.0000	0.4135	444.3000	2.0719
70.0000	35.0000	0.4205	448.5000	2.0856
70.0000	40.0000	0.4276	452.7000	2.0993
70.0000	45.0000	0.4346	457.0000	2.1128
70.0000	50.0000	0.4416	461.3000	2.1263
70.0000	55.0000	0.4486	465.7000	2.1397
70.0000	60.0000	0.4556	470.1000	2.1530
70.0000	65.0000	0.4626	474.5000	2.1662
70.0000	70.0000	0.4696	479.0000	2.1793
70.0000	75.0000	0.4766	483.5000	2.1924
70.0000	80.0000	0.4835	488.0000	2.2054
70.0000	85.0000	0.4905	492.6000	2.2183
70.0000	90.0000	0.4975	497.3000	2.2312
70.0000	95.0000	0.5045	501.9000	2.2439
70.0000	100.0000	0.5115	506.6000	2.2566
70.0000	105.0000	0.4533	511.3000	2.2562
70.0000	110.0000	0.5254	516.2000	2.2818
80.0000	-40.0000	0.2743	389.6000	1.8548
80.0000	-35.0000	0.2805	393.2000	1.8703
80.0000	-30.0000	0.2868	396.9000	1.8855
80.0000	-25.0000	0.2931	400.6000	1.9006
80.0000	-20.0000	0.2993	404.4000	1.9156
80.0000	-15.0000	0.3055	408.2000	1.9305
80.0000	-10.0000	0.3118	412.0000	1.9452
80.0000	-5.0000	0.3180	415.9000	1.9598
80.0000	0.0000	0.3242	419.8000	1.9742
80.0000	5.0000	0.3304	423.8000	1.9886
80.0000	10.0000	0.3366	427.8000	2.0028
80.0000	15.0000	0.3428	431.8000	2.0170
80.0000	20.0000	0.3490	435.9000	2.0310
80.0000	25.0000	0.3551	440.0000	2.0449
80.0000	30.0000	0.3613	444.2000	2.0588
80.0000	35.0000	0.3675	448.4000	2.0725
80.0000	40.0000	0.3736	452.6000	2.0862
80.0000	45.0000	0.3798	456.9000	2.0997
80.0000	50.0000	0.3859	461.2000	2.1132
80.0000	55.0000	0.3921	465.6000	2.1266
80.0000	60.0000	0.3982	470.0000	2.1399
80.0000	65.0000	0.4043	474.4000	2.1531
80.0000	70.0000	0.4105	478.9000	2.1663
80.0000	75.0000	0.4166	483.4000	2.1793
